,Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
0,Toyota,Used,Diesel,1.0,Prado,2100000,Karachi,Cash,1997.0
1,Suzuki,Used,Petrol,100000.0,Bolan,380000,Karachi,Cash,2006.0
2,Suzuki,Used,CNG,12345.0,Bolan,340000,Karachi,Cash,1998.0
3,Suzuki,Used,Petrol,94000.0,Alto,535000,Karachi,Cash,2010.0
4,Toyota,Used,Petrol,100000.0,Corolla XLI,1430000,Karachi,Cash,2013.0
5,Toyota,Used,Petrol,80000.0,Corrolla Altis,1620000,Karachi,Cash,2012.0
6,Suzuki,New,CNG,65000.0,Cultus VXL,450000,Karachi,Cash,2006.0
7,Toyota,New,Petrol,10241.0,Corrolla Altis,2900000,Karachi,Cash,2017.0
8,Suzuki,Used,CNG,83000.0,Alto,490000,Karachi,Cash,2009.0
9,Honda,Used,Petrol,1.0,Civic VTi,480000,Karachi,Cash,1997.0
10,Suzuki,Used,CNG,123.0,Khyber,230000,Karachi,Cash,1994.0
11,Suzuki,Used,CNG,73000.0,Liana,535000,Karachi,Cash,2006.0
12,Toyota,Used,Petrol,78000.0,Passo,770000,Karachi,Cash,2006.0
13,Honda,Used,Petrol,1.0,Civic Prosmetic,490000,Karachi,Cash,1997.0
14,Honda,Used,CNG,170000.0,Civic EXi,160000,Karachi,Cash,1984.0
15,Suzuki,Used,Petrol,200000.0,Alto,425000,Karachi,Cash,2005.0
16,Daihatsu,Used,Petrol,100000.0,Charade,180000,Karachi,Cash,1988.0
17,Mitsubishi,Used,Petrol,82000.0,Pajero Mini,520000,Karachi,Cash,1995.0
18,Suzuki,Used,CNG,10000.0,Margalla,400000,Karachi,Cash,1990.0
19,Honda,Used,Petrol,69500.0,City IVTEC,1400000,Karachi,Cash,2014.0
20,Suzuki,Used,CNG,10000.0,Khyber,175000,Karachi,Cash,1989.0
21,KIA,Used,CNG,123456.0,Classic,120000,Karachi,Cash,2001.0
22,Honda,Used,CNG,87611.0,Civic EXi,590000,Karachi,Cash,2000.0
23,Honda,Used,Hybrid,19000.0,Other,425000,Karachi,Cash,1995.0
24,Honda,Used,CNG,99000.0,Civic EXi,685000,Karachi,Cash,2005.0
25,Suzuki,Used,CNG,88000.0,Alto,465000,Karachi,Cash,2007.0
26,Toyota,Used,Petrol,75000.0,Corolla GLI,1190000,Karachi,Cash,2010.0
27,Other Brands,Used,Petrol,124000.0,Other,850000,Karachi,Cash,2010.0
28,Suzuki,Used,CNG,76000.0,Cultus VXR,370000,Karachi,Cash,2002.0
29,Nissan,New,Petrol,47000.0,Dayz Highway Star,1175000,Karachi,Cash,2013.0
30,Toyota,New,Petrol,43000.0,Corolla XLI,1675000,Karachi,Cash,2015.0
31,Suzuki,Used,CNG,3875.0,Mehran VX,195000,Karachi,Cash,1999.0
32,Suzuki,Used,CNG,98000.0,Mehran VX,165000,Karachi,Cash,1991.0
33,Suzuki,Used,Petrol,1000.0,Alto,420000,Karachi,Cash,2006.0
34,Toyota,Used,Petrol,39000.0,Vitz,1430000,Karachi,Cash,2014.0
35,Suzuki,Used,CNG,127000.0,Mehran VXR,150000,Karachi,Cash,1991.0
36,Suzuki,Used,LPG,786.0,Carry,130000,Karachi,Cash,1982.0
37,Suzuki,Used,CNG,70.0,Cultus VXR,415000,Karachi,Cash,2004.0
38,Suzuki,Used,CNG,99999.0,Mehran VX,185000,Karachi,Cash,1997.0
39,Toyota,Used,Petrol,89000.0,Passo,1040000,Karachi,Cash,2010.0
40,Suzuki,Used,CNG,1.0,Cultus VX,400000,Karachi,Cash,2002.0
41,Suzuki,Used,Petrol,100000.0,Cultus VXR,360000,Karachi,Cash,2001.0
42,Toyota,New,Petrol,69000.0,Vitz,1150000,Karachi,Cash,2003.0
43,Suzuki,New,CNG,65000.0,Mehran VX,265000,Karachi,Cash,2005.0
44,Suzuki,New,CNG,73000.0,Mehran VXR,435000,Karachi,Cash,2009.0
45,Toyota,Used,Petrol,163000.0,Corolla GLI,1220000,Karachi,Cash,2009.0
46,Suzuki,Used,CNG,56.0,Cultus VXR,780000,Karachi,Cash,2011.0
47,Suzuki,Used,CNG,10000.0,Bolan,250000,Karachi,Cash,1987.0
48,Toyota,Used,Petrol,190.0,Corrolla Altis,875000,Karachi,Cash,2004.0
49,Toyota,Used,CNG,65000.0,Corolla XLI,1260000,Karachi,Cash,2013.0
50,Suzuki,Used,Petrol,65000.0,Cultus VXR,840000,Karachi,Cash,2013.0
51,Suzuki,Used,CNG,174000.0,Alto,350000,Karachi,Cash,2004.0
52,Suzuki,Used,Petrol,5458.0,Baleno,380000,Karachi,Cash,2001.0
53,Suzuki,Used,Petrol,90000.0,Alto,340000,Karachi,Cash,2007.0
54,Daihatsu,Used,Petrol,88000.0,Mira,1050000,Karachi,Cash,2013.0
55,Toyota,Used,CNG,200000.0,Vitz,730000,Karachi,Cash,2006.0
56,Suzuki,Used,CNG,28800.0,Mehran VXR,195000,Karachi,Cash,1995.0
57,Honda,New,Petrol,95000.0,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007.0
58,Daihatsu,Used,CNG,71000.0,Cuore,410000,Karachi,Cash,2001.0
59,Daihatsu,Used,CNG,100.0,Charade,155000,Karachi,Cash,1984.0
60,Suzuki,Used,CNG,1.0,Margalla,320000,Karachi,Cash,1994.0
61,Toyota,Used,Diesel,134000.0,Corolla 2.0 D,1080000,Karachi,Cash,2010.0
62,Suzuki,Used,CNG,1.0,Bolan,290000,Karachi,Cash,1993.0
63,Toyota,Used,Petrol,123456.0,Corolla XE,570000,Karachi,Cash,1998.0
64,Toyota,Used,Petrol,92000.0,Surf,4150000,Karachi,Cash,2007.0
65,Suzuki,Used,CNG,1.0,FX,90000,Karachi,Cash,1988.0
66,Suzuki,New,Petrol,36000.0,Mehran VXR,590000,Karachi,Cash,2015.0
67,Toyota,Used,Petrol,40000.0,Corolla GLI,1740000,Karachi,Cash,2015.0
68,Toyota,Used,Petrol,85010.0,Corolla GLI,916000,Karachi,Cash,2004.0
69,Daihatsu,New,Petrol,153736.0,Cuore,535000,Karachi,Cash,2006.0
